,name,party,state,district,context,le,eg
508,Guy Vander Jagt,republican,Michigan,9,candidate,"[{'year': 1978, 'le': 0.424037479}, {'year': 1980, 'le': 0.629477501}, {'year': 1982, 'le': 1.2234445809999999}, {'year': 1984, 'le': 0.39621639799999997}, {'year': 1986, 'le': 0.269729942}, {'year': 1988, 'le': 0.421650112}, {'year': 1990, 'le': 0.948073658}]","[{'year': 1978, 'eg': 0.10805146201491306}, {'year': 1980, 'eg': -0.465304160754337}, {'year': 1982, 'eg': 0.20265626531518285}, {'year': 1984, 'eg': 0.07871760531942389}, {'year': 1986, 'eg': 0.2115961429706571}, {'year': 1988, 'eg': 0.10435054102165019}, {'year': 1990, 'eg': 0.4048950791055601}]"
509,Donald Joseph Albosta,democrat,Michigan,10,candidate,"[{'year': 1978, 'le': 0.34402685}]","[{'year': 1978, 'eg': 0.4703832658130366}]"
510,Robert W. Davis,republican,Michigan,11,candidate,"[{'year': 1978, 'le': 0.110084485}, {'year': 1988, 'le': 0.7648013229999999}, {'year': 1990, 'le': 1.542896051}]","[{'year': 1978, 'eg': 0.40156468207598256}, {'year': 1988, 'eg': 0.30335186237680034}, {'year': 1990, 'eg': 0.2745211125223567}]"
511,Charles C. Diggs,democrat,Michigan,13,candidate,"[{'year': 1978, 'le': 0.0}]","[{'year': 1978, 'eg': -0.0839980192066215}]"
512,Arlen Erdahl,republican,Minnesota,1,candidate,"[{'year': 1978, 'le': 0.120877082}, {'year': 1980, 'le': 0.315229029}]","[{'year': 1978, 'eg': 0.3631238867140648}, {'year': 1980, 'eg': 0.06448108062756942}]"
513,Martin Olav Sabo,democrat,Minnesota,5,candidate,"[{'year': 1978, 'le': 0.075548176}, {'year': 1980, 'le': 0.07374615}, {'year': 1982, 'le': 0.040929202000000005}, {'year': 1984, 'le': 0.046211361}, {'year': 1986, 'le': 0.015501721000000001}, {'year': 1996, 'le': 0.0904039}]","[{'year': 1978, 'eg': 0.2534792333788846}, {'year': 1980, 'eg': 0.06631380590810841}, {'year': 1982, 'eg': 0.13805096616966975}, {'year': 1984, 'eg': 0.06493743682095802}, {'year': 1986, 'eg': 0.032224804651130715}, {'year': 1996, 'eg': 0.14172231457358733}]"
514,Arlan Stangeland,republican,Minnesota,7,candidate,"[{'year': 1978, 'le': 0.105767446}, {'year': 1980, 'le': 0.20225829}, {'year': 1982, 'le': 0.506792963}, {'year': 1984, 'le': 0.467073818}, {'year': 1986, 'le': 0.24052389}, {'year': 1988, 'le': 0.200785771}]","[{'year': 1978, 'eg': 0.4344445953286257}, {'year': 1980, 'eg': 0.45732749804139505}, {'year': 1982, 'eg': 0.4944685949952628}, {'year': 1984, 'eg': 0.35911948623326395}, {'year': 1986, 'eg': 0.49936596500126806}, {'year': 1988, 'eg': -0.0456053142528405}]"
515,David Bowen,democrat,Mississippi,2,candidate,"[{'year': 1978, 'le': 0.71829055}]","[{'year': 1978, 'eg': 0.265041538198013}]"
516,Jon Clifton Hinson,republican,Mississippi,4,candidate,"[{'year': 1978, 'le': 0.075548176}]","[{'year': 1978, 'eg': 0.24732086095722458}]"
517,Pat Williams,democrat,Montana,1,candidate,"[{'year': 1978, 'le': 0.40014835299999996}, {'year': 1980, 'le': 0.37884728100000004}, {'year': 1982, 'le': 0.955363333}, {'year': 1984, 'le': 6.925157305}, {'year': 1986, 'le': 4.553114891}, {'year': 1988, 'le': 4.232950687}, {'year': 1990, 'le': 2.2507630709999997}]","[{'year': 1978, 'eg': 0.35395945612854657}, {'year': 1980, 'eg': 0.27146511374768695}, {'year': 1982, 'eg': 0.27515781434589087}, {'year': 1984, 'eg': 0.16294998242458078}, {'year': 1986, 'eg': 0.26667021429778814}, {'year': 1988, 'eg': 0.2845247070111713}, {'year': 1990, 'eg': 0.27734008742983085}]"
