,year,state,d_eg,r_eg
94,1978,Vermont,0.014958257954224827,-0.014958257954224827
95,1978,Virginia,0.006642815735547886,-0.006642815735547886
96,1978,Washington,0.11572233398719327,-0.11572233398719327
97,1978,West Virginia,0.10103475121221595,-0.10103475121221595
98,1978,Wisconsin,0.01928543936485242,-0.01928543936485242
99,1978,Wyoming,-0.16368635847175309,0.16368635847175309
100,1980,Alabama,-0.06973005199716716,0.06973005199716716
101,1980,Alaska,-0.006771527247797798,0.006771527247797798
102,1980,Arizona,0.020737557505162475,-0.020737557505162475
103,1980,Arkansas,0.02651710503696063,-0.02651710503696063
104,1980,California,0.002260084776719204,-0.002260084776719204
105,1980,Colorado,0.04704110902704117,-0.04704110902704117
106,1980,Connecticut,0.0428846856865772,-0.0428846856865772
107,1980,Delaware,-0.08568471276309207,0.08568471276309207
