,name,party,state,district,context,le,eg
10,Bob Stump,democrat,Arizona,3,candidate,"[{'year': 1976, 'le': 0.075656444}, {'year': 1978, 'le': 0.06475557900000001}, {'year': 1980, 'le': 0.180134445}, {'year': 1982, 'le': 0.280645877}, {'year': 1984, 'le': 0.637022243}, {'year': 1986, 'le': 0.071307912}, {'year': 1988, 'le': 0.11567147800000001}, {'year': 1990, 'le': 0.040747492999999996}, {'year': 1992, 'le': 0.356078994}, {'year': 1994, 'le': 4.280219555}, {'year': 1996, 'le': 5.101554871}, {'year': 1998, 'le': 5.0803189280000005}, {'year': 2000, 'le': 4.067470074}]","[{'year': 1976, 'eg': -0.4482221569203644}, {'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': -0.15607627989919115}, {'year': 1982, 'eg': 0.2337808585978654}, {'year': 1984, 'eg': 0.04684236561503793}, {'year': 1986, 'eg': 0.0}, {'year': 1988, 'eg': 0.09722496348636166}, {'year': 1990, 'eg': 0.3682663497642195}, {'year': 1992, 'eg': 0.22891997384943308}, {'year': 1994, 'eg': 0.09748233535100201}, {'year': 1996, 'eg': 0.16969955778245935}, {'year': 1998, 'eg': 0.15478953978780488}, {'year': 2000, 'eg': 0.15662151869391}]"
11,Eldon Rudd,republican,Arizona,4,candidate,"[{'year': 1976, 'le': 0.039089162000000004}, {'year': 1978, 'le': 0.300856464}, {'year': 1980, 'le': 0.076204355}, {'year': 1982, 'le': 0.192002669}, {'year': 1984, 'le': 0.236017014}]","[{'year': 1976, 'eg': 0.4962524140090819}, {'year': 1978, 'eg': 0.20726382824883896}, {'year': 1980, 'eg': 0.24729692325942068}, {'year': 1982, 'eg': 0.14639847112039928}, {'year': 1984, 'eg': 0.0}]"
12,Bill Alexander,democrat,Arkansas,1,candidate,"[{'year': 1976, 'le': 0.315449327}, {'year': 1978, 'le': 0.884590835}, {'year': 1980, 'le': 0.418178561}, {'year': 1982, 'le': 0.160205707}, {'year': 1984, 'le': 0.311156496}, {'year': 1986, 'le': 0.372535735}, {'year': 1988, 'le': 0.274368465}, {'year': 1990, 'le': 0.17657247}]","[{'year': 1976, 'eg': -0.12288040193859535}, {'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.0}, {'year': 1982, 'eg': -0.20370756907663004}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': -0.2156126494211354}, {'year': 1988, 'eg': 0.0}, {'year': 1990, 'eg': -0.2138455858482339}]"
13,Jim Guy Tucker,democrat,Arkansas,2,candidate,"[{'year': 1976, 'le': 0.094570555}]","[{'year': 1976, 'eg': 0.2276545728996999}]"
14,John Paul Hammerschmidt,republican,Arkansas,3,candidate,"[{'year': 1976, 'le': 0.7973004579999999}, {'year': 1978, 'le': 1.272190156}, {'year': 1982, 'le': 1.101027489}, {'year': 1984, 'le': 0.56445675}, {'year': 1986, 'le': 0.287029058}, {'year': 1988, 'le': 0.42062035200000003}, {'year': 1990, 'le': 0.792557567}]","[{'year': 1976, 'eg': 0.0}, {'year': 1978, 'eg': -0.06886404476765923}, {'year': 1982, 'eg': 0.18069143538359983}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': -0.09605951961991906}, {'year': 1988, 'eg': 0.006192522759831785}, {'year': 1990, 'eg': 0.0899038043950317}]"
15,Ray Thornton,democrat,Arkansas,4,candidate,"[{'year': 1976, 'le': 0.400386959}, {'year': 1990, 'le': 0.0}, {'year': 1992, 'le': 0.015668365}, {'year': 1994, 'le': 0.076522939}]","[{'year': 1976, 'eg': 0.0}, {'year': 1990, 'eg': -0.2917335684383229}, {'year': 1992, 'eg': -0.01672857115506117}, {'year': 1994, 'eg': -0.35236367485431014}]"
16,Harold T. (Bizz) Johnson,democrat,California,1,candidate,"[{'year': 1976, 'le': 5.170519829}]","[{'year': 1976, 'eg': -0.02106296309949497}]"
17,Don H. Clausen,republican,California,2,candidate,"[{'year': 1976, 'le': 0.22823026800000001}, {'year': 1978, 'le': 0.142462275}, {'year': 1980, 'le': 0.769668314}]","[{'year': 1976, 'eg': 0.35011290017223623}, {'year': 1978, 'eg': 0.43308816852810317}, {'year': 1980, 'eg': 0.3780620160963642}]"
18,John E. Moss,democrat,California,3,candidate,"[{'year': 1976, 'le': 0.121050313}]","[{'year': 1976, 'eg': -0.04286592930040552}]"
19,Robert L. Leggett,democrat,California,4,candidate,"[{'year': 1976, 'le': 7.103451729}]","[{'year': 1976, 'eg': -0.4956964187583175}]"
20,John L. Burton,democrat,California,5,candidate,"[{'year': 1976, 'le': 1.099640846}, {'year': 1978, 'le': 1.621922932}, {'year': 1980, 'le': 0.361519649}]","[{'year': 1976, 'eg': -0.2631233830489884}, {'year': 1978, 'eg': -0.1631431651003158}, {'year': 1980, 'eg': -0.4419677385110782}]"
21,Phillip Burton,democrat,California,6,candidate,"[{'year': 1976, 'le': 4.724550724}, {'year': 1978, 'le': 6.064377063999999}, {'year': 1980, 'le': 2.420518327}, {'year': 1982, 'le': 1.222304344}]","[{'year': 1976, 'eg': -0.10942130831983868}, {'year': 1978, 'eg': -0.09684556809832343}, {'year': 1980, 'eg': -0.06257705161529892}, {'year': 1982, 'eg': -0.32542860507764526}]"
22,George Miller,democrat,California,7,candidate,"[{'year': 1976, 'le': 0.475462615}, {'year': 1978, 'le': 1.194791779}, {'year': 1980, 'le': 1.631554479}, {'year': 1982, 'le': 0.664159477}, {'year': 1984, 'le': 1.127968465}, {'year': 1986, 'le': 1.2128891940000002}, {'year': 1988, 'le': 2.593132496}, {'year': 1990, 'le': 4.458227985}, {'year': 1992, 'le': 2.529110713}, {'year': 1994, 'le': 1.046750069}, {'year': 1996, 'le': 1.75323832}, {'year': 1998, 'le': 3.038362265}, {'year': 2000, 'le': 1.273303628}, {'year': 2002, 'le': 1.1556499}, {'year': 2004, 'le': 0.48929886200000006}, {'year': 2006, 'le': 10.63960552}, {'year': 2008, 'le': 6.51473532}, {'year': 2010, 'le': 0.282587796}, {'year': 2012, 'le': 0.988525987}]","[{'year': 1976, 'eg': 0.014185838549711406}, {'year': 1978, 'eg': -0.2029878807161658}, {'year': 1980, 'eg': -0.1811853752633994}, {'year': 1982, 'eg': -0.12942039191185425}, {'year': 1984, 'eg': -0.16572689229680013}, {'year': 1986, 'eg': -0.16875901218420503}, {'year': 1988, 'eg': -0.131658376394456}, {'year': 1990, 'eg': -0.2898766184767454}, {'year': 1992, 'eg': -0.04814158967254177}, {'year': 1994, 'eg': -0.07739749461287747}, {'year': 1996, 'eg': -0.0047795638942577144}, {'year': 1998, 'eg': 0.033418224356006145}, {'year': 2000, 'eg': 0.05336727509591022}, {'year': 2002, 'eg': -0.05726426547956293}, {'year': 2004, 'eg': 0.02164157663594449}, {'year': 2006, 'eg': 0.0}, {'year': 2008, 'eg': 0.01025884577868835}, {'year': 2010, 'eg': -0.13353590142802135}, {'year': 2012, 'eg': -0.10536892235974142}]"
23,Ronald V. Dellums,democrat,California,8,candidate,"[{'year': 1976, 'le': 1.228690863}, {'year': 1978, 'le': 2.543814743}, {'year': 1980, 'le': 1.6048444430000002}, {'year': 1982, 'le': 2.267073154}, {'year': 1984, 'le': 1.055898206}, {'year': 1986, 'le': 0.726148665}, {'year': 1988, 'le': 2.347190142}, {'year': 1990, 'le': 4.705174445}, {'year': 1992, 'le': 1.9611276780000002}, {'year': 1994, 'le': 0.038261469}, {'year': 1996, 'le': 0.148808479}]","[{'year': 1976, 'eg': -0.22599185596636778}, {'year': 1978, 'eg': -0.35274492604579416}, {'year': 1980, 'eg': -0.3372828450812332}, {'year': 1982, 'eg': -0.3810390782162767}, {'year': 1984, 'eg': -0.293464675219356}, {'year': 1986, 'eg': -0.27855470963609036}, {'year': 1988, 'eg': -0.14645018678934404}, {'year': 1990, 'eg': -0.27406513686734396}, {'year': 1992, 'eg': -0.016092039550569665}, {'year': 1994, 'eg': -0.0036533892382948985}, {'year': 1996, 'eg': 0.08556088531507504}]"
24,Fortney H. (Pete) Stark,democrat,California,9,candidate,"[{'year': 1976, 'le': 0.8289166090000001}, {'year': 1980, 'le': 2.967792633}, {'year': 1982, 'le': 3.5362432}]","[{'year': 1976, 'eg': -0.06329726079894885}, {'year': 1980, 'eg': -0.35795148907037017}, {'year': 1982, 'eg': -0.286803800226619}]"
25,Don Edwards,democrat,California,10,candidate,"[{'year': 1976, 'le': 1.476257801}, {'year': 1978, 'le': 3.392127307}, {'year': 1980, 'le': 3.858275827}, {'year': 1982, 'le': 3.2812750339999996}, {'year': 1984, 'le': 0.27700658699999997}, {'year': 1986, 'le': 2.5821945669999997}, {'year': 1988, 'le': 2.241928339}, {'year': 1990, 'le': 2.9774947910000003}, {'year': 1992, 'le': 4.870301707}]","[{'year': 1976, 'eg': -0.024565274730930307}, {'year': 1978, 'eg': -0.1574581684702293}, {'year': 1980, 'eg': -0.15818661383346602}, {'year': 1982, 'eg': -0.2099634169093372}, {'year': 1984, 'eg': -0.21852330107140464}, {'year': 1986, 'eg': -0.06163226389214145}, {'year': 1988, 'eg': 0.0}, {'year': 1990, 'eg': -0.24641946768526526}, {'year': 1992, 'eg': -0.19966577497225482}]"
26,Leo J. Ryan,democrat,California,11,candidate,"[{'year': 1976, 'le': 0.163047299}, {'year': 1978, 'le': 0.102021}]","[{'year': 1976, 'eg': -0.2435667502866159}, {'year': 1978, 'eg': -0.2506907157378929}]"
27,"Paul N. """"Pete"""" McCloskey, Jr.",republican,California,12,candidate,"[{'year': 1976, 'le': 0.14413318}]","[{'year': 1976, 'eg': 0.15048232981301146}]"
28,Norman Y. Mineta,democrat,California,13,candidate,"[{'year': 1976, 'le': 1.473155141}, {'year': 1978, 'le': 1.074172987}, {'year': 1980, 'le': 2.39179186}, {'year': 1982, 'le': 2.257930756}, {'year': 1984, 'le': 1.886177999}, {'year': 1986, 'le': 3.1349725719999997}, {'year': 1988, 'le': 1.059765458}, {'year': 1990, 'le': 2.495724939}, {'year': 1992, 'le': 5.0485376539999995}, {'year': 1994, 'le': 0.114784405}]","[{'year': 1976, 'eg': -0.14384954420046295}, {'year': 1978, 'eg': -0.3203591448497671}, {'year': 1980, 'eg': -0.266353975130115}, {'year': 1982, 'eg': -0.15511048738136582}, {'year': 1984, 'eg': -0.17724267913208586}, {'year': 1986, 'eg': -0.10543217869860796}, {'year': 1988, 'eg': -0.12698464493152217}, {'year': 1990, 'eg': -0.27624279732293044}, {'year': 1992, 'eg': -0.17690017711120323}, {'year': 1994, 'eg': -0.30193202933008334}]"
29,John J. McFall,democrat,California,14,candidate,"[{'year': 1976, 'le': 2.337261677}]","[{'year': 1976, 'eg': -0.04924422949064186}]"
30,B. F. Sisk,democrat,California,15,candidate,"[{'year': 1976, 'le': 1.416298509}]","[{'year': 1976, 'eg': -0.05593101568886986}]"
31,Leon E. Panetta,democrat,California,16,candidate,"[{'year': 1976, 'le': 0.575657725}, {'year': 1978, 'le': 0.9222868940000001}, {'year': 1980, 'le': 1.289613838}, {'year': 1982, 'le': 3.6373360160000003}, {'year': 1984, 'le': 0.990041372}, {'year': 1986, 'le': 3.7594122889999997}, {'year': 1988, 'le': 3.144170523}, {'year': 1990, 'le': 1.741546671}, {'year': 1992, 'le': 0.142028815}]","[{'year': 1976, 'eg': -0.4316113538233566}, {'year': 1978, 'eg': -0.27259066201763343}, {'year': 1980, 'eg': -0.03512229022350752}, {'year': 1982, 'eg': 0.2073402841786471}, {'year': 1984, 'eg': -0.06937425872341212}, {'year': 1986, 'eg': 0.09183598576129372}, {'year': 1988, 'eg': 0.07157027281945914}, {'year': 1990, 'eg': 0.021264958398249743}, {'year': 1992, 'eg': -0.016953704716043867}]"
32,John Krebs,democrat,California,17,candidate,"[{'year': 1976, 'le': 1.6673343180000002}]","[{'year': 1976, 'eg': -0.18623868291942744}]"
33,William M. Ketchum,republican,California,18,candidate,"[{'year': 1976, 'le': 0.8467679020000001}]","[{'year': 1976, 'eg': 0.2159674373661907}]"
34,Robert J. Lagomarsino,republican,California,19,candidate,"[{'year': 1976, 'le': 0.327355534}, {'year': 1978, 'le': 0.513107364}, {'year': 1980, 'le': 0.436908144}, {'year': 1990, 'le': 1.156089166}]","[{'year': 1976, 'eg': 0.2124344945911063}, {'year': 1978, 'eg': 0.025365208936192513}, {'year': 1980, 'eg': -0.10045896289652342}, {'year': 1990, 'eg': 0.3983693613091287}]"
35,"Barry Goldwater, Jr.",republican,California,20,candidate,"[{'year': 1976, 'le': 0.27236318600000003}]","[{'year': 1976, 'eg': 0.15510165584699404}]"
36,James C. Corman,democrat,California,21,candidate,"[{'year': 1976, 'le': 4.796281815}, {'year': 1978, 'le': 4.282334754}]","[{'year': 1976, 'eg': -0.12286998151643601}, {'year': 1978, 'eg': -0.26357763134576034}]"
37,Carlos J. Moorhead,republican,California,22,candidate,"[{'year': 1976, 'le': 0.325922787}, {'year': 1978, 'le': 1.015003467}, {'year': 1980, 'le': 1.0862697590000001}, {'year': 1982, 'le': 0.248684987}, {'year': 1984, 'le': 0.289329616}, {'year': 1986, 'le': 0.688260436}, {'year': 1988, 'le': 0.270317048}, {'year': 1990, 'le': 0.09086914300000001}, {'year': 1992, 'le': 0.142028815}, {'year': 1994, 'le': 6.7707405089999995}]","[{'year': 1976, 'eg': 0.24783429344505542}, {'year': 1978, 'eg': 0.20730265551109495}, {'year': 1980, 'eg': 0.1798468044539776}, {'year': 1982, 'eg': -0.0009988800435874927}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': -0.007694480478721178}, {'year': 1988, 'eg': 0.06445013111722006}, {'year': 1990, 'eg': 0.24021301173388457}, {'year': 1992, 'eg': 0.3977877147564133}, {'year': 1994, 'eg': 0.3916317891278017}]"
38,Anthony C. Beilenson,democrat,California,23,candidate,"[{'year': 1976, 'le': 0.085743971}, {'year': 1978, 'le': 0.147349906}, {'year': 1980, 'le': 0.076204355}, {'year': 1982, 'le': 0.674851477}, {'year': 1984, 'le': 0.138634082}, {'year': 1986, 'le': 0.6613740920000001}, {'year': 1988, 'le': 1.6096928119999998}, {'year': 1990, 'le': 0.08149498599999999}, {'year': 1992, 'le': 0.141015282}, {'year': 1994, 'le': 0.076522939}]","[{'year': 1976, 'eg': -0.2964368149714586}, {'year': 1978, 'eg': -0.1871347642937752}, {'year': 1980, 'eg': -0.18263911527948443}, {'year': 1982, 'eg': -0.3089133661047535}, {'year': 1984, 'eg': -0.252921528575311}, {'year': 1986, 'eg': -0.16051614579386644}, {'year': 1988, 'eg': -0.19652480472691827}, {'year': 1990, 'eg': -0.2245725434338961}, {'year': 1992, 'eg': -0.3358346358910474}, {'year': 1994, 'eg': -0.4817009095191506}]"
39,Heny A. Waxman,democrat,California,24,candidate,"[{'year': 1976, 'le': 0.157831743}]","[{'year': 1976, 'eg': -0.14439145292725974}]"
40,Edward R. Roybal,democrat,California,25,candidate,"[{'year': 1976, 'le': 0.44132924100000004}, {'year': 1978, 'le': 0.31514382}, {'year': 1980, 'le': 1.713799092}, {'year': 1982, 'le': 1.626971126}, {'year': 1984, 'le': 1.6854220000000002}, {'year': 1986, 'le': 2.068656206}, {'year': 1988, 'le': 3.026005745}, {'year': 1990, 'le': 2.194987277}]","[{'year': 1976, 'eg': -0.001048062015503876}, {'year': 1978, 'eg': -0.15227800135123226}, {'year': 1980, 'eg': -0.12397633295232972}, {'year': 1982, 'eg': 0.0}, {'year': 1984, 'eg': -0.024203901582061604}, {'year': 1986, 'eg': 0.047644182349871986}, {'year': 1988, 'eg': 0.0}, {'year': 1990, 'eg': -0.047448229695708485}]"
41,John H. Rousselot,republican,California,26,candidate,"[{'year': 1976, 'le': 0.200703725}, {'year': 1978, 'le': 0.25902231800000003}, {'year': 1980, 'le': 1.168689813}]","[{'year': 1976, 'eg': 0.18828620014908684}, {'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.034294953620968426}]"
42,Robert K. Dornan,republican,California,27,candidate,"[{'year': 1976, 'le': 0.234749123}, {'year': 1978, 'le': 0.397738146}, {'year': 1980, 'le': 0.30072586}, {'year': 1990, 'le': 0.291341068}, {'year': 1992, 'le': 0.23502547}, {'year': 1994, 'le': 1.010887384}]","[{'year': 1976, 'eg': 0.40633125169957685}, {'year': 1978, 'eg': 0.4799682778766717}, {'year': 1980, 'eg': 0.45474093889910644}, {'year': 1990, 'eg': 0.33821244268805034}, {'year': 1992, 'eg': 0.4077396530873779}, {'year': 1994, 'eg': 0.3014476250605996}]"
43,Yvonne Brathwaite Burke,democrat,California,28,candidate,"[{'year': 1976, 'le': 0.9617174270000001}]","[{'year': 1976, 'eg': 0.10391141587656999}]"
44,"Augustus F. """"Gus"""" Hawkins",democrat,California,29,candidate,"[{'year': 1976, 'le': 3.500644445}, {'year': 1984, 'le': 2.964959375}, {'year': 1986, 'le': 3.562041044}, {'year': 1988, 'le': 8.364199637999999}]","[{'year': 1976, 'eg': 0.24182729136042733}, {'year': 1984, 'eg': 0.23268927507606046}, {'year': 1986, 'eg': 0.20009197641075582}, {'year': 1988, 'eg': 0.19173024164756286}]"
45,Georg E. Danielson,democrat,California,30,candidate,"[{'year': 1976, 'le': 2.512513876}]","[{'year': 1976, 'eg': -0.012330367574368653}]"
46,Charles II. Wilson,democrat,California,31,candidate,[],"[{'year': 1976, 'eg': 0.0}]"
47,Glenn M. Anderson,democrat,California,32,candidate,"[{'year': 1976, 'le': 5.25313282}, {'year': 1978, 'le': 2.201150669}, {'year': 1980, 'le': 5.061268648}, {'year': 1982, 'le': 2.256049395}, {'year': 1984, 'le': 1.201315442}, {'year': 1986, 'le': 4.356234074}, {'year': 1988, 'le': 2.993599415}, {'year': 1990, 'le': 0.23142756}]","[{'year': 1976, 'eg': -0.055521549423988445}, {'year': 1978, 'eg': -0.010071518883494677}, {'year': 1980, 'eg': -0.14873045496604614}, {'year': 1982, 'eg': -0.31644394824622085}, {'year': 1984, 'eg': -0.25967708670928963}, {'year': 1986, 'eg': -0.10966795180359284}, {'year': 1988, 'eg': -0.12675591920583137}, {'year': 1990, 'eg': -0.2695115356885364}]"
48,Del Clawson,republican,California,33,candidate,"[{'year': 1976, 'le': 0.063047037}]","[{'year': 1976, 'eg': 0.3984440402990676}]"
49,Mark W. Hannaford,democrat,California,34,candidate,"[{'year': 1976, 'le': 0.311666518}]","[{'year': 1976, 'eg': -0.48573831822632885}]"
50,Jim Lloyd,democrat,California,35,candidate,"[{'year': 1976, 'le': 0.158878535}, {'year': 1978, 'le': 0.146779313}]","[{'year': 1976, 'eg': -0.4348137143274658}, {'year': 1978, 'eg': -0.4197406436874286}]"
51,"George E. Brown, Jr.",democrat,California,36,candidate,"[{'year': 1976, 'le': 3.2927794460000004}, {'year': 1982, 'le': 2.234505415}, {'year': 1986, 'le': 0.298127472}, {'year': 1988, 'le': 1.187967658}, {'year': 1992, 'le': 3.178852378}, {'year': 1994, 'le': 0.287347853}, {'year': 1998, 'le': 0.11103203099999999}]","[{'year': 1976, 'eg': -0.21901515356881454}, {'year': 1982, 'eg': -0.41353162014662154}, {'year': 1986, 'eg': -0.3577475909868546}, {'year': 1988, 'eg': -0.38479399732843544}, {'year': 1992, 'eg': -0.4331364516846083}, {'year': 1994, 'eg': -0.4771884900828957}, {'year': 1998, 'eg': -0.35}]"
52,Shirley N. Pettis,republican,California,37,candidate,"[{'year': 1976, 'le': 0.68138659}]","[{'year': 1976, 'eg': 0.04995292728462238}]"
53,Jerry Patterson,democrat,California,38,candidate,"[{'year': 1976, 'le': 0.344236821}]","[{'year': 1976, 'eg': -0.2276998195912788}]"
54,Charles E. Wiggins,republican,California,39,candidate,"[{'year': 1976, 'le': 0.300746351}]","[{'year': 1976, 'eg': 0.3285068910516614}]"
55,Robert E. Badham,republican,California,40,candidate,"[{'year': 1976, 'le': 0.006304704}, {'year': 1978, 'le': 0.023743712}, {'year': 1980, 'le': 0.606741304}, {'year': 1982, 'le': 0.640220523}, {'year': 1984, 'le': 0.030807574}, {'year': 1986, 'le': 0.102492288}]","[{'year': 1976, 'eg': 0.31496066133639744}, {'year': 1978, 'eg': 0.1810426328933286}, {'year': 1980, 'eg': 0.016434587881192272}, {'year': 1982, 'eg': 0.045233134920634924}, {'year': 1984, 'eg': 0.19601606438303512}, {'year': 1986, 'eg': 0.2797504463439691}]"
56,Bob C. Wilson,republican,California,41,candidate,"[{'year': 1976, 'le': 0.757075012}]","[{'year': 1976, 'eg': 0.34692488830392076}]"
57,Lionel Van Deerlin,democrat,California,42,candidate,"[{'year': 1976, 'le': 0.9329299329999999}, {'year': 1978, 'le': 0.509758018}]","[{'year': 1976, 'eg': 0.019778510178651742}, {'year': 1978, 'eg': -0.025263112304560614}]"
58,Clair W. Burgener,republican,California,43,candidate,"[{'year': 1976, 'le': 0.218356892}, {'year': 1978, 'le': 0.385928216}, {'year': 1980, 'le': 0.671340113}]","[{'year': 1976, 'eg': 0.20005729242728917}, {'year': 1978, 'eg': 0.1268719861331318}, {'year': 1980, 'eg': -0.23137471898393863}]"
59,Patricia Schroeder,democrat,Colorado,1,candidate,"[{'year': 1976, 'le': 1.038326502}, {'year': 1982, 'le': 3.2645223139999997}, {'year': 1984, 'le': 3.492643251}, {'year': 1986, 'le': 2.107461214}, {'year': 1988, 'le': 0.8814095259999999}, {'year': 1990, 'le': 1.5997645180000002}, {'year': 1994, 'le': 0.306091756}]","[{'year': 1976, 'eg': -0.42948711326894273}, {'year': 1982, 'eg': -0.2718294129964403}, {'year': 1984, 'eg': -0.24320287630044193}, {'year': 1986, 'eg': -0.13264135869285087}, {'year': 1988, 'eg': -0.10140776673681133}, {'year': 1990, 'eg': -0.2257439253205973}, {'year': 1994, 'eg': -0.29940098547550803}]"
